exchange,exchange_token,trading_symbol,groww_symbol,name,instrument_type,segment,series,isin,underlying_symbol,underlying_exchange_token,expiry_date,strike_price,lot_size,tick_size,freeze_quantity,is_reserved,buy_allowed,sell_allowed,internal_trading_symbol,is_intraday
NSE,25,ADANIENT,NSE-ADANIENT,Adani Enterprises,EQ,CASH,EQ,INE423A01024,,,,,1,0.1,,,1,1,ADANIENT-EQ,1
NSE,15083,ADANIPORTS,NSE-ADANIPORTS,Adani Ports &Special,EQ,CASH,EQ,INE742F01042,,,,,1,0.1,,,1,1,ADANIPORTS-EQ,1
NSE,157,APOLLOHOSP,NSE-APOLLOHOSP,Apollo Hospitals,EQ,CASH,EQ,INE437A01024,,,,,1,0.5,,,1,1,APOLLOHOSP-EQ,1
NSE,236,ASIANPAINT,NSE-ASIANPAINT,Asian Paints,EQ,CASH,EQ,INE021A01026,,,,,1,0.1,,,1,1,ASIANPAINT-EQ,1
NSE,5900,AXISBANK,NSE-AXISBANK,Axis Bank,EQ,CASH,EQ,INE238A01034,,,,,1,0.1,,,1,1,AXISBANK-EQ,1
NSE,10604,BHARTIARTL,NSE-BHARTIARTL,Bharti Airtel,EQ,CASH,EQ,INE397D01024,,,,,1,0.1,,,1,1,BHARTIARTL-EQ,1
NSE,16669,BAJAJ-AUTO,NSE-BAJAJ-AUTO,Bajaj Auto,EQ,CASH,EQ,INE917I01010,,,,,1,0.5,,,1,1,BAJAJ-AUTO-EQ,1
NSE,317,BAJFINANCE,NSE-BAJFINANCE,Bajaj Finance,EQ,CASH,EQ,INE296A01032,,,,,1,0.05,,,1,1,BAJFINANCE-EQ,1
NSE,16675,BAJAJFINSV,NSE-BAJAJFINSV,Bajaj Finserv,EQ,CASH,EQ,INE918I01026,,,,,1,0.1,,,1,1,BAJAJFINSV-EQ,1
NSE,526,BPCL,NSE-BPCL,BPCL,EQ,CASH,EQ,INE029A01011,,,,,1,0.05,,,1,1,BPCL-EQ,1
NSE,547,BRITANNIA,NSE-BRITANNIA,Britannia Industries,EQ,CASH,EQ,INE216A01030,,,,,1,0.5,,,1,1,BRITANNIA-EQ,1
NSE,694,CIPLA,NSE-CIPLA,Cipla,EQ,CASH,EQ,INE059A01026,,,,,1,0.1,,,1,1,CIPLA-EQ,1
NSE,20374,COALINDIA,NSE-COALINDIA,Coal India,EQ,CASH,EQ,INE522F01014,,,,,1,0.05,,,1,1,COALINDIA-EQ,1
NSE,881,DRREDDY,NSE-DRREDDY,Dr Reddy's Labs,EQ,CASH,EQ,INE089A01031,,,,,1,0.1,,,1,1,DRREDDY-EQ,1
NSE,10940,DIVISLAB,NSE-DIVISLAB,Divi's Labs,EQ,CASH,EQ,INE361B01024,,,,,1,0.5,,,1,1,DIVISLAB-EQ,1
NSE,910,EICHERMOT,NSE-EICHERMOT,Eicher Motors,EQ,CASH,EQ,INE066A01021,,,,,1,0.5,,,1,1,EICHERMOT-EQ,1
NSE,1232,GRASIM,NSE-GRASIM,Grasim Industries,EQ,CASH,EQ,INE047A01021,,,,,1,0.1,,,1,1,GRASIM-EQ,1
NSE,1333,HDFCBANK,NSE-HDFCBANK,HDFC Bank,EQ,CASH,EQ,INE040A01034,,,,,1,0.05,,,1,1,HDFCBANK-EQ,1
NSE,1394,HINDUNILVR,NSE-HINDUNILVR,Hindustan Unilever,EQ,CASH,EQ,INE030A01027,,,,,1,0.1,,,1,1,HINDUNILVR-EQ,1
NSE,1348,HEROMOTOCO,NSE-HEROMOTOCO,Hero MotoCorp,EQ,CASH,EQ,INE158A01026,,,,,1,0.5,,,1,1,HEROMOTOCO-EQ,1
NSE,1363,HINDALCO,NSE-HINDALCO,Hindalco,EQ,CASH,EQ,INE038A01020,,,,,1,0.05,,,1,1,HINDALCO-EQ,1
NSE,7229,HCLTECH,NSE-HCLTECH,HCL Tech.,EQ,CASH,EQ,INE860A01027,,,,,1,0.1,,,1,1,HCLTECH-EQ,1
NSE,4963,ICICIBANK,NSE-ICICIBANK,ICICI Bank,EQ,CASH,EQ,INE090A01021,,,,,1,0.1,,,1,1,ICICIBANK-EQ,1
NSE,5258,INDUSINDBK,NSE-INDUSINDBK,IndusInd Bank,EQ,CASH,EQ,INE095A01012,,,,,1,0.05,,,1,1,INDUSINDBK-EQ,1
NSE,1594,INFY,NSE-INFY,Infosys,EQ,CASH,EQ,INE009A01021,,,,,1,0.1,,,1,1,INFY-EQ,1
NSE,1660,ITC,NSE-ITC,ITC,EQ,CASH,EQ,INE154A01025,,,,,1,0.05,,,1,1,ITC-EQ,1
NSE,11723,JSWSTEEL,NSE-JSWSTEEL,JSW Steel,EQ,CASH,EQ,INE019A01038,,,,,1,0.1,,,1,1,JSWSTEEL-EQ,1
NSE,1922,KOTAKBANK,NSE-KOTAKBANK,Kotak Mahindra Bank,EQ,CASH,EQ,INE237A01036,,,,,1,0.05,,,1,1,KOTAKBANK-EQ,1
NSE,11483,LT,NSE-LT,L&T,EQ,CASH,EQ,INE018A01030,,,,,1,0.1,,,1,1,LT-EQ,1
NSE,10999,MARUTI,NSE-MARUTI,Maruti Suzuki,EQ,CASH,EQ,INE585B01010,,,,,1,1.0,,,1,1,MARUTI-EQ,1
NSE,17963,NESTLEIND,NSE-NESTLEIND,Nestle,EQ,CASH,EQ,INE239A01024,,,,,1,0.1,,,1,1,NESTLEIND-EQ,1
NSE,2475,ONGC,NSE-ONGC,ONGC,EQ,CASH,EQ,INE213A01029,,,,,1,0.05,,,1,1,ONGC-EQ,1
NSE,11630,NTPC,NSE-NTPC,NTPC,EQ,CASH,EQ,INE733E01010,,,,,1,0.05,,,1,1,NTPC-EQ,1
NSE,14977,POWERGRID,NSE-POWERGRID,Power Grid Corp,EQ,CASH,EQ,INE752E01010,,,,,1,0.05,,,1,1,POWERGRID-EQ,1
NSE,2885,RELIANCE,NSE-RELIANCE,Reliance Industries,EQ,CASH,EQ,INE002A01018,,,,,1,0.1,,,1,1,RELIANCE-EQ,1
NSE,3045,SBIN,NSE-SBIN,SBI,EQ,CASH,EQ,INE062A01020,,,,,1,0.1,,,1,1,SBIN-EQ,1
NSE,21808,SBILIFE,NSE-SBILIFE,SBI Life Insurance,EQ,CASH,EQ,INE123W01016,,,,,1,0.1,,,1,1,SBILIFE-EQ,1
NSE,4306,SHRIRAMFIN,NSE-SHRIRAMFIN,Shriram Finance,EQ,CASH,EQ,INE721A01047,,,,,1,0.1,,,1,1,SHRIRAMFIN-EQ,1
NSE,3351,SUNPHARMA,NSE-SUNPHARMA,Sun Pharma Inds.,EQ,CASH,EQ,INE044A01036,,,,,1,0.1,,,1,1,SUNPHARMA-EQ,1
NSE,3499,TATASTEEL,NSE-TATASTEEL,Tata Steel,EQ,CASH,EQ,INE081A01020,,,,,1,0.01,,,1,1,TATASTEEL-EQ,1
NSE,3432,TATACONSUM,NSE-TATACONSUM,Tata Consumer Produc,EQ,CASH,EQ,INE192A01025,,,,,1,0.1,,,1,1,TATACONSUM-EQ,1
NSE,11536,TCS,NSE-TCS,TCS,EQ,CASH,EQ,INE467B01029,,,,,1,0.1,,,1,1,TCS-EQ,1
NSE,13538,TECHM,NSE-TECHM,Tech Mahindra,EQ,CASH,EQ,INE669C01036,,,,,1,0.1,,,1,1,TECHM-EQ,1
NSE,3506,TITAN,NSE-TITAN,Titan Co,EQ,CASH,EQ,INE280A01028,,,,,1,0.1,,,1,1,TITAN-EQ,1
NSE,11287,UPL,NSE-UPL,UPL,EQ,CASH,EQ,INE628A01036,,,,,1,0.05,,,1,1,UPL-EQ,1
NSE,11532,ULTRACEMCO,NSE-ULTRACEMCO,UltraTech Cement,EQ,CASH,EQ,INE481G01011,,,,,1,1.0,,,1,1,ULTRACEMCO-EQ,1
NSE,3787,WIPRO,NSE-WIPRO,Wipro,EQ,CASH,EQ,INE075A01022,,,,,1,0.01,,,1,1,WIPRO-EQ,1
NSE,2031,M&M,NSE-M&M,Mahindra & Mahindra,EQ,CASH,EQ,INE101A01026,,,,,1,0.1,,,1,1,M&M-EQ,1
NSE,3103,SHREECEM,NSE-SHREECEM,Shree Cement,EQ,CASH,EQ,INE070A01015,,,,,1,5.0,,,1,1,SHREECEM-EQ,1
NSE,1964,TRENT,NSE-TRENT,Trent,EQ,CASH,EQ,INE849A01020,,,,,1,0.1,,,1,1,TRENT-EQ,1
